bar_index,time,sma5,ema5,rma5,rsi14,atr14,macd_line,macd_signal,macd_hist,stoch14
-1000100,1726839000,222.17400000000004,224.54806053614126,223.3738694403768,59.1768589372875,5.182306278283406,0.5010260584102184,0.1991506587880949,0.3018753996221235,74.49139280125189
-1000099,1727098200,224.20400000000004,225.18870702409419,223.99309555230144,56.01705397818376,5.072141544120305,0.7304278984285304,0.305406106716182,0.4250217917123484,65.46687532603026
-1000098,1727184600,226.32000000000002,225.91580468272946,224.66847644184116,57.2945877089601,4.968417148111712,0.9736295919080931,0.43905080375456423,0.5345787881535289,70.16171100678146
-1000097,1727271000,227.45600000000005,226.06720312181963,225.00878115347297,55.370141110187404,4.852815923246589,1.073304655552647,0.5659015741141808,0.5074030814384662,64.94522691705794
-1000096,1727357400,227.186,226.55146874787977,225.51102492277838,57.15252017519465,4.726900500157547,1.2309041537864118,0.698902090048627,0.5320020637377848,70.94418362024001
-1000095,1727443800,227.10400000000004,226.9643124985865,225.96681993822273,57.580858604405684,4.547836178717722,1.3618906079149724,0.8314997936218961,0.5303908142930763,72.35263432446527
-1000094,1727703000,228.41000000000003,228.976208332391,227.37345595057818,64.87726097823335,4.5951335945236,1.8646077374126833,1.0381213823800535,0.8264863550326298,99.53051643192487
-1000093,1727789400,228.17800000000005,228.05413888826067,227.14076476046253,52.26074988993909,4.928338337771913,1.695572921635545,1.1696116902311517,0.5259612314043933,64.1105894627022
-1000092,1727875800,228.26000000000005,227.62942592550712,227.06861180837004,53.08553964398645,4.88702845650249,1.5892855540422204,1.2535464629933655,0.3357390910488549,67.08398539384456
-1000091,1727962200,227.89000000000001,226.9762839503381,226.78888944669603,51.22936249255547,4.786883566752313,1.3993534506110734,1.282707860516907,0.11664559009416631,61.29368805425138
-1000090,1728048600,227.692,226.91752263355872,226.79111155735683,53.029910565237614,4.7213918834128625,1.3247416493403819,1.291114618281602,0.033627031058779844,66.16460462614313
-1000089,1728307800,225.43,225.17501508903914,225.77088924588548,44.948476961014805,4.774863891740515,0.843553011315322,1.201602296888346,-0.35804928557302396,26.688102893890694
-1000088,1728394200,225.342,225.37334339269276,225.77071139670838,51.32647342899224,4.740230756616191,0.7824103118789765,1.117763899886472,-0.3353535880074956,37.75510204081634
-1000087,1728480600,225.894,226.76222892846184,226.52456911736672,56.35785125590028,4.753071416857891,1.0263308714444577,1.0994772941980693,-0.0731464227536116,69.81292517006791
-1000086,1728567000,226.56800000000004,227.5214859523079,227.0276552938934,55.53788348901617,4.5828520299394695,1.1658546047627851,1.1127527563110124,0.05310184845177268,66.0668380462724
-1000085,1728653400,226.71800000000002,227.53099063487193,227.13212423511473,53.060383364860655,4.403362599229507,1.1430215798154961,1.1188065210119091,0.024215058803586986,53.299057412168
-1000084,1728912600,228.64000000000001,228.7873270899146,227.9656993880918,58.12356747125796,4.387408127855969,1.411251869901605,1.1772955907898484,0.23395627911175665,85.43273350471303
-1000083,1728999000,230.256,230.47488472660973,229.14255951047343,61.189267230174224,4.516164690151971,1.8087399676055327,1.3035844661529852,0.5051555014525475,77.47524752475238
-1000082,1729085400,230.704,230.90992315107314,229.67004760837875,57.50875108312089,4.48001006942683,1.9344216399649383,1.4297519009153759,0.5046697390495625,64.66584158415836
-1000081,1729171800,231.32600000000002,231.32328210071543,230.16603808670303,57.995101703895706,4.3978664930391975,2.0403611651472033,1.5518737537617413,0.48848741138546203,66.95544554455442
-1000080,1729258200,232.81599999999997,232.5488547338103,231.1328304693624,61.63747905048343,4.371590314964969,2.3274606659008725,1.7069911361895675,0.620469529711305,84.59158415841577
-1000079,1729517400,233.852,233.85923648920686,232.2022643754899,63.411782081965704,4.230762435324615,2.643935081979663,1.8943799253475866,0.7495551566320764,93.74999999999987
-1000078,1729603800,234.254,234.52615765947124,232.93381150039195,62.115687749479825,4.205707975658571,2.8122961192838147,2.0779631641348324,0.7343329551489823,89.91336633663369
-1000077,1729690200,234.05,233.27077177298082,232.49904920031358,52.59303298049801,4.48387169168296,2.5053163494305295,2.163433801193972,0.3418825482365575,58.35396039603948
-1000076,1729776600,233.73399999999998,232.37051451532054,232.11323936025087,52.27152627795535,4.335737999419892,2.2210978249080995,2.1749666059367976,0.0461312189713019,57.17821782178207
-1000075,1729863000,233.016,232.05034301021368,231.97259148820072,53.62138995637931,4.286756713747043,2.040116384613782,2.1479965616721945,-0.10788017705841257,57.303370786516794
-1000074,1730122200,232.4,232.5002286734758,232.25807319056057,56.742655339070126,4.217702662765111,2.033819058062818,2.1251610609503193,-0.09134200288750138,67.693522906793
-1000073,1730208600,231.962,232.89015244898386,232.54045855244846,57.163884490369,4.0596524725676035,2.027246291584845,2.1055781070772244,-0.07833181549237933,62.984496124030876
-1000072,1730295000,231.83,231.9601016326559,232.05236684195876,50.202817842207956,4.063963010241344,1.7142078415911612,2.0273040539800116,-0.3130962123888503,27.19211822660088
-1000071,1730381400,230.898,229.94340108843727,230.823893473567,43.506464770967966,4.1115370809383895,1.1151696503814037,1.84487717326029,-0.7297075228788863,4.455445544554388
-1000070,1730467800,229.198,227.59893405895818,229.2411147788536,39.44914057312879,4.220713003728504,0.3938130088309322,1.5546643403744185,-1.1608513315434863,15.331010452961594
-1000069,1730730600,226.92,225.73595603930545,227.79489182308288,38.295321860234935,4.14780493203361,-0.24763522040467478,1.1942044282185997,-1.4418396486232745,13.418903150524999
-1000068,1730817000,224.87599999999998,224.9739706928703,226.9259134584663,41.25585083524295,4.0522474368883525,-0.6325005256986174,0.8288634374351562,-1.4613639631337736,21.820303383897222
