order_no,id,comment,is_entry,is_buy,price,quantity,order_type,trade_marker
0,MKT_L,MKT_L,True,True,273.06,1,MARKET,0
1,Close entry(s) order strategy.close_0,MKT_X,False,False,273.06,1,MARKET,0
2,LMT_L,LMT_L,True,True,267,1,LIMIT,1
3,Close entry(s) order strategy.close_1,LMT_X,False,False,267,1,MARKET,1
4,STP_L,STP_L,True,True,259.08,1,STOP,2
5,Close entry(s) order strategy.close_2,STP_X,False,False,259.08,1,MARKET,2
6,STPLMT_L,STPLMT_L,True,True,259.49,1,STOP_LIMIT,3
7,Close entry(s) order strategy.close_3,STPLMT_X,False,False,259.49,1,MARKET,3
